Method,bpp,PSNR (dB),SSIM,MSE,KL Div.,RS Det. Rate,χ² Det. Rate,SPA Det. Rate
Fixed LSB-1,0.05,69.75,1.0000,0.0069,0.000001,1.00,1.00,0.00
Fixed LSB-1,0.1,66.83,1.0000,0.0135,0.000002,1.00,1.00,0.00
Fixed LSB-1,0.2,63.84,1.0000,0.0269,0.000004,1.00,1.00,0.00
Fixed LSB-1,0.3,62.09,1.0000,0.0402,0.000005,1.00,1.00,0.00
Fixed LSB-1,0.4,60.83,1.0000,0.0537,0.000008,0.00,1.00,0.00
Fixed LSB-2,0.05,65.72,1.0000,0.0174,0.000001,1.00,1.00,0.00
Fixed LSB-2,0.1,62.78,1.0000,0.0343,0.000002,0.00,1.00,0.00
Fixed LSB-2,0.2,59.84,1.0000,0.0675,0.000004,1.00,0.00,0.00
Fixed LSB-2,0.3,58.12,1.0000,0.1002,0.000006,1.00,0.00,0.00
Fixed LSB-2,0.4,56.83,1.0000,0.1350,0.000007,1.00,1.00,0.00
Fuzzy Adaptive,0.05,72.07,1.0000,0.0040,0.000001,1.00,1.00,0.00
Fuzzy Adaptive,0.1,69.21,1.0000,0.0078,0.000001,0.00,1.00,0.00
Fuzzy Adaptive,0.2,66.30,1.0000,0.0152,0.000003,1.00,1.00,0.00
Fuzzy Adaptive,0.3,64.58,1.0000,0.0227,0.000003,1.00,1.00,0.00
Fuzzy Adaptive,0.4,63.34,1.0000,0.0301,0.000004,0.00,1.00,0.00
