image,method,bpp,payload_bytes,embed_time_s,extract_time_s,extraction_verified,mse,psnr,ssim,kl_divergence,distortion_per_bit,rs_estimated_rate,rs_detected,chi2_embedding_prob,chi2_detected,spa_estimated_rate,spa_detected,mean_depth,depth_std
1.pgm,Fixed-LSB-1,0.05,1141,0.012451,0.012180,True,0.005761,70.5255,0.999952,0.00039599,0.0000006312,0.003864,False,1.000000,True,0.391214,True,,
1.pgm,Fixed-LSB-1,0.1,2287,0.010351,0.010859,True,0.011478,67.5320,0.999905,0.00124401,0.0000006274,0.007749,False,1.000000,True,0.391833,True,,
1.pgm,Fixed-LSB-1,0.2,4581,0.010819,0.010645,True,0.023263,64.4641,0.999808,0.00371147,0.0000006348,0.015543,False,1.000000,True,0.393843,True,,
1.pgm,Fixed-LSB-1,0.3,6875,0.019948,0.016143,True,0.034987,62.6917,0.999714,0.00659755,0.0000006361,0.021861,False,1.000000,True,0.395762,True,,
1.pgm,Fixed-LSB-1,0.4,9169,0.010082,0.010637,True,0.046649,61.4424,0.999623,0.00966157,0.0000006360,0.030207,False,1.000000,True,0.398009,True,,
1.pgm,Fixed-LSB-2,0.05,1141,0.011465,0.011817,True,0.016174,66.0425,0.999849,0.00014785,0.0000017719,0.006033,False,1.000000,True,0.390808,True,,
1.pgm,Fixed-LSB-2,0.1,2287,0.013642,0.014482,True,0.032873,62.9625,0.999696,0.00054153,0.0000017967,0.010825,False,1.000000,True,0.390839,True,,
1.pgm,Fixed-LSB-2,0.2,4581,0.012238,0.011364,True,0.065859,59.9446,0.999398,0.00172670,0.0000017971,0.020094,False,1.000000,True,0.390808,True,,
1.pgm,Fixed-LSB-2,0.3,6875,0.012985,0.011381,True,0.098253,58.2074,0.999102,0.00331532,0.0000017864,0.032787,False,1.000000,True,0.391420,True,,
1.pgm,Fixed-LSB-2,0.4,9169,0.018457,0.021007,True,0.131082,56.9554,0.998810,0.00509957,0.0000017870,0.042808,False,1.000000,True,0.391795,True,,
1.pgm,Adaptive,0.05,573,0.036057,0.036841,True,0.002968,73.4064,0.999973,0.00013491,0.0000006474,0.002467,False,1.000000,True,0.391068,True,1.0652,0.2468
1.pgm,Adaptive,0.1,1146,0.025301,0.039218,True,0.005859,70.4523,0.999948,0.00045267,0.0000006391,0.004300,False,1.000000,True,0.391649,True,1.0652,0.2468
1.pgm,Adaptive,0.2,2293,0.034637,0.027790,True,0.011730,67.4378,0.999898,0.00139247,0.0000006395,0.009767,False,1.000000,True,0.392597,True,1.0652,0.2468
1.pgm,Adaptive,0.3,3440,0.023651,0.025438,True,0.017584,65.6795,0.999847,0.00263730,0.0000006390,0.015728,False,1.000000,True,0.394386,True,1.0652,0.2468
1.pgm,Adaptive,0.4,4587,0.018060,0.022321,True,0.023482,64.4235,0.999796,0.00406502,0.0000006399,0.017963,False,1.000000,True,0.394592,True,1.0652,0.2468
10.pgm,Fixed-LSB-1,0.05,1141,0.012392,0.014525,True,0.005922,70.4064,0.999969,0.00000228,0.0000006487,0.020221,False,1.000000,True,0.111171,True,,
10.pgm,Fixed-LSB-1,0.1,2287,0.009580,0.010063,True,0.011846,67.3951,0.999939,0.00000470,0.0000006475,0.039111,False,1.000000,True,0.113480,True,,
10.pgm,Fixed-LSB-1,0.2,4581,0.010799,0.010138,True,0.023412,64.4364,0.999880,0.00001122,0.0000006388,0.072666,True,1.000000,True,0.116828,True,,
10.pgm,Fixed-LSB-1,0.3,6875,0.016127,0.011394,True,0.034946,62.6968,0.999823,0.00001868,0.0000006354,0.110739,True,1.000000,True,0.120115,True,,
10.pgm,Fixed-LSB-1,0.4,9169,0.015164,0.013518,True,0.046617,61.4454,0.999763,0.00002685,0.0000006355,0.131565,True,1.000000,True,0.122439,True,,
10.pgm,Fixed-LSB-2,0.05,1141,0.014578,0.016731,True,0.014440,66.5352,0.999926,0.00000207,0.0000015819,0.009914,False,1.000000,True,0.109688,True,,
10.pgm,Fixed-LSB-2,0.1,2287,0.011368,0.011040,True,0.029243,63.4705,0.999850,0.00000445,0.0000015984,0.010962,False,1.000000,True,0.109872,True,,
10.pgm,Fixed-LSB-2,0.2,4581,0.011554,0.010597,True,0.057981,60.4980,0.999705,0.00000952,0.0000015821,0.017608,False,1.000000,True,0.109581,True,,
10.pgm,Fixed-LSB-2,0.3,6875,0.016738,0.013001,True,0.086829,58.7442,0.999558,0.00001681,0.0000015787,0.022637,False,1.000000,True,0.108955,True,,
10.pgm,Fixed-LSB-2,0.4,9169,0.016029,0.011602,True,0.116487,57.4680,0.999408,0.00002721,0.0000015881,0.030158,False,1.000000,True,0.109765,True,,
10.pgm,Adaptive,0.05,573,0.016965,0.020905,True,0.002987,73.3786,0.999984,0.00000106,0.0000006516,0.013298,False,1.000000,True,0.110376,True,1.0618,0.2408
10.pgm,Adaptive,0.1,1146,0.017196,0.022888,True,0.005934,70.3970,0.999968,0.00000198,0.0000006473,0.018820,False,1.000000,True,0.110889,True,1.0618,0.2408
10.pgm,Adaptive,0.2,2293,0.026284,0.031862,True,0.011789,67.4161,0.999937,0.00000448,0.0000006426,0.032907,False,1.000000,True,0.112379,True,1.0618,0.2408
10.pgm,Adaptive,0.3,3440,0.015996,0.019111,True,0.017607,65.6739,0.999906,0.00000700,0.0000006398,0.051808,True,1.000000,True,0.114313,True,1.0618,0.2408
10.pgm,Adaptive,0.4,4587,0.015656,0.023559,True,0.023387,64.4411,0.999875,0.00000983,0.0000006373,0.068500,True,1.000000,True,0.115743,True,1.0618,0.2408
100.pgm,Fixed-LSB-1,0.05,1141,0.010337,0.010044,True,0.005767,70.5216,0.999958,0.00000199,0.0000006317,0.022522,False,1.000000,True,0.189021,True,,
100.pgm,Fixed-LSB-1,0.1,2287,0.010973,0.010000,True,0.011654,67.4661,0.999915,0.00000557,0.0000006370,0.037912,False,1.000000,True,0.191322,True,,
100.pgm,Fixed-LSB-1,0.2,4581,0.013322,0.013562,True,0.023473,64.4251,0.999830,0.00001570,0.0000006405,0.063888,True,1.000000,True,0.195259,True,,
100.pgm,Fixed-LSB-1,0.3,6875,0.019734,0.018334,True,0.035108,62.6768,0.999747,0.00003139,0.0000006383,0.094554,True,1.000000,True,0.199853,True,,
100.pgm,Fixed-LSB-1,0.4,9169,0.019754,0.017930,True,0.046752,61.4328,0.999662,0.00004943,0.0000006374,0.122898,True,1.000000,True,0.204256,True,,
100.pgm,Fixed-LSB-2,0.05,1141,0.012251,0.011495,True,0.014893,66.4011,0.999894,0.00000297,0.0000016315,0.005574,False,1.000000,True,0.186009,True,,
100.pgm,Fixed-LSB-2,0.1,2287,0.015278,0.014094,True,0.029676,63.4068,0.999785,0.00000646,0.0000016220,0.006785,False,1.000000,True,0.185581,True,,
100.pgm,Fixed-LSB-2,0.2,4581,0.019497,0.015653,True,0.059397,60.3931,0.999573,0.00001937,0.0000016208,0.013913,False,1.000000,True,0.184909,True,,
100.pgm,Fixed-LSB-2,0.3,6875,0.021838,0.026710,True,0.088409,58.6658,0.999361,0.00003526,0.0000016074,0.016694,False,1.000000,True,0.183127,True,,
100.pgm,Fixed-LSB-2,0.4,9169,0.018201,0.018144,True,0.118189,57.4050,0.999147,0.00005623,0.0000016113,0.021558,False,1.000000,True,0.182111,True,,
100.pgm,Adaptive,0.05,573,0.039419,0.033476,True,0.002856,73.5733,0.999979,0.00000093,0.0000006230,0.015377,False,1.000000,True,0.188341,True,1.0457,0.2088
100.pgm,Adaptive,0.1,1146,0.027678,0.023591,True,0.005852,70.4579,0.999956,0.00000233,0.0000006383,0.022852,False,1.000000,True,0.189182,True,1.0457,0.2088
100.pgm,Adaptive,0.2,2293,0.018190,0.022653,True,0.011634,67.4737,0.999913,0.00000655,0.0000006342,0.037752,False,1.000000,True,0.191246,True,1.0457,0.2088
100.pgm,Adaptive,0.3,3440,0.023531,0.027023,True,0.017495,65.7015,0.999869,0.00001055,0.0000006357,0.050574,True,1.000000,True,0.193233,True,1.0457,0.2088
100.pgm,Adaptive,0.4,4587,0.020124,0.021287,True,0.023210,64.4741,0.999826,0.00001548,0.0000006325,0.064906,True,1.000000,True,0.196062,True,1.0457,0.2088
1000.pgm,Fixed-LSB-1,0.05,1141,0.014189,0.010140,True,0.005849,70.4598,0.999954,0.00000501,0.0000006408,0.066267,True,1.000000,True,0.230828,True,,
1000.pgm,Fixed-LSB-1,0.1,2287,0.009760,0.010016,True,0.011627,67.4761,0.999908,0.00001504,0.0000006355,0.080978,True,1.000000,True,0.233442,True,,
1000.pgm,Fixed-LSB-1,0.2,4581,0.010209,0.009788,True,0.023070,64.5003,0.999819,0.00005493,0.0000006295,0.104231,True,1.000000,True,0.238128,True,,
1000.pgm,Fixed-LSB-1,0.3,6875,0.010755,0.012857,True,0.034833,62.7109,0.999727,0.00012368,0.0000006333,0.124141,True,1.000000,True,0.242776,True,,
1000.pgm,Fixed-LSB-1,0.4,9169,0.018344,0.016183,True,0.046473,61.4588,0.999636,0.00022120,0.0000006336,0.146371,True,1.000000,True,0.247401,True,,
