image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
1.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010553,0.010983,0.021536,7059.6
1.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010752,0.010506,0.021258,7041.8
1.pgm,Adaptive,0.2,0.214681,0.244729,0.015788,0.017724,0.492922,641103.9
10.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010844,0.010765,0.021609,7059.6
10.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010575,0.011047,0.021622,7041.8
10.pgm,Adaptive,0.2,0.225298,0.237994,0.015730,0.018382,0.497404,641091.0
100.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010918,0.011268,0.022186,7059.6
100.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010513,0.011715,0.022228,7041.8
100.pgm,Adaptive,0.2,0.217332,0.226754,0.015681,0.018099,0.477866,641091.0
1000.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.011343,0.010512,0.021854,7059.6
1000.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010919,0.011150,0.022069,7041.8
1000.pgm,Adaptive,0.2,0.223454,0.233717,0.016360,0.017881,0.491412,641091.0
10000.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010866,0.010334,0.021200,7059.6
10000.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010905,0.010890,0.021795,7041.8
10000.pgm,Adaptive,0.2,0.231031,0.222278,0.015529,0.018374,0.487212,641091.0
1001.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010533,0.011135,0.021668,7059.6
1001.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010675,0.010410,0.021084,7041.8
1001.pgm,Adaptive,0.2,0.201803,0.223870,0.014838,0.016679,0.457190,641091.0
1002.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010685,0.010677,0.021363,7059.6
