method,bpp,n_images,n_folds,mean_auc,std_auc,ci95_auc_lo,ci95_auc_hi,mean_tpr_at_5fpr,std_tpr_at_5fpr
Fixed-LSB-1,0.05,200,5,0.927937,0.025418,0.905658,0.950217,0.800000,0.079057
Fixed-LSB-1,0.1,200,5,0.983312,0.008847,0.975558,0.991067,0.960000,0.030000
Fixed-LSB-1,0.2,200,5,0.994125,0.006012,0.988855,0.999395,0.995000,0.010000
Fixed-LSB-1,0.3,200,5,0.992312,0.005895,0.987145,0.997480,1.000000,0.000000
Fixed-LSB-1,0.4,200,5,0.990000,0.009354,0.981801,0.998199,1.000000,0.000000
Fixed-LSB-2,0.05,200,5,0.928250,0.028648,0.903139,0.953361,0.755000,0.106536
Fixed-LSB-2,0.1,200,5,0.984313,0.008620,0.976756,0.991869,0.945000,0.050990
Fixed-LSB-2,0.2,200,5,0.993437,0.005214,0.988867,0.998008,1.000000,0.000000
Fixed-LSB-2,0.3,200,5,0.994375,0.005642,0.989429,0.999321,1.000000,0.000000
Fixed-LSB-2,0.4,200,5,0.997125,0.004867,0.992859,1.001391,1.000000,0.000000
Adaptive,0.05,200,5,0.837938,0.042647,0.800556,0.875319,0.480000,0.104163
Adaptive,0.1,200,5,0.933250,0.024019,0.912197,0.954303,0.825000,0.074162
Adaptive,0.2,200,5,0.982313,0.009968,0.973575,0.991050,0.935000,0.046368
Adaptive,0.3,200,5,0.992313,0.007095,0.986094,0.998531,0.982500,0.035000
Adaptive,0.4,200,5,0.996687,0.004638,0.992622,1.000753,1.000000,0.000000
