image,method,bpp,payload_bytes,embed_time_s,extract_time_s,extraction_verified,mse,psnr,ssim,kl_divergence,distortion_per_bit,rs_estimated_rate,rs_detected,chi2_embedding_prob,chi2_detected,spa_estimated_rate,spa_detected,mean_depth,depth_std
1.pgm,Fixed-LSB-1,0.05,280,0.005528,0.002872,True,0.005966,70.3738,0.999933,0.00002950,0.0000026635,0.019956,False,1.000000,True,0.361397,True,,
1.pgm,Fixed-LSB-1,0.1,567,0.002573,0.002847,True,0.011770,67.4232,0.999868,0.00008255,0.0000025947,0.031199,False,1.000000,True,0.365686,True,,
1.pgm,Fixed-LSB-1,0.2,1141,0.002606,0.002488,True,0.023265,64.4639,0.999741,0.00026389,0.0000025487,0.051315,True,1.000000,True,0.374632,True,,
1.pgm,Fixed-LSB-1,0.3,1714,0.002588,0.002575,True,0.035029,62.6865,0.999611,0.00053477,0.0000025546,0.070681,True,1.000000,True,0.383150,True,,
1.pgm,Fixed-LSB-1,0.4,2287,0.002761,0.002556,True,0.046753,61.4327,0.999481,0.00090917,0.0000025554,0.085636,True,1.000000,True,0.390135,True,,
1.pgm,Fixed-LSB-2,0.05,280,0.002585,0.002476,True,0.015320,66.2783,0.999825,0.00001765,0.0000068392,0.008949,False,1.000000,True,0.356924,True,,
1.pgm,Fixed-LSB-2,0.1,567,0.002606,0.002434,True,0.031072,63.2071,0.999643,0.00004056,0.0000068501,0.013575,False,1.000000,True,0.356373,True,,
1.pgm,Fixed-LSB-2,0.2,1141,0.002639,0.002464,True,0.061996,60.2071,0.999292,0.00010523,0.0000067919,0.015322,False,1.000000,True,0.354473,True,,
1.pgm,Fixed-LSB-2,0.3,1714,0.002654,0.002320,True,0.092422,58.4730,0.998949,0.00021558,0.0000067403,0.019654,False,1.000000,True,0.353002,True,,
1.pgm,Fixed-LSB-2,0.4,2287,0.002673,0.002432,True,0.123082,57.2288,0.998603,0.00035999,0.0000067273,0.021557,False,1.000000,True,0.351103,True,,
1.pgm,Adaptive,0.05,143,0.003775,0.003996,True,0.003087,73.2349,0.999964,0.00001295,0.0000026987,0.013447,False,1.000000,True,0.360570,True,1.0286,0.1667
1.pgm,Adaptive,0.1,286,0.003790,0.004839,True,0.005981,70.3627,0.999930,0.00002630,0.0000026143,0.021370,False,1.000000,True,0.362500,True,1.0286,0.1667
