image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
1.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.004103,0.003631,0.007734,1768.1
1.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.004535,0.003702,0.008237,1763.7
1.pgm,Adaptive,0.2,0.059591,0.065219,0.004982,0.005969,0.135760,160335.9
10.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003605,0.003632,0.007237,1768.1
10.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003939,0.003980,0.007919,1763.7
10.pgm,Adaptive,0.2,0.058433,0.069321,0.005535,0.007141,0.140429,160322.9
100.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003929,0.004150,0.008080,1768.1
100.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.004208,0.003999,0.008207,1763.7
100.pgm,Adaptive,0.2,0.064447,0.067105,0.005863,0.006831,0.144245,160322.9
1000.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003767,0.003583,0.007350,1768.1
1000.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003767,0.003834,0.007601,1763.7
1000.pgm,Adaptive,0.2,0.054629,0.064834,0.005763,0.006734,0.131961,160322.9
10000.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003835,0.004062,0.007897,1768.1
10000.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.004027,0.003758,0.007785,1763.7
10000.pgm,Adaptive,0.2,0.058466,0.069523,0.005447,0.005709,0.139144,160322.9
1001.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003934,0.003867,0.007801,1768.1
1001.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003888,0.003625,0.007513,1763.7
1001.pgm,Adaptive,0.2,0.067359,0.061613,0.005784,0.006596,0.141351,160322.9
1002.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003874,0.003745,0.007619,1768.1
1002.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003900,0.003606,0.007505,1763.7
1002.pgm,Adaptive,0.2,0.054334,0.059888,0.005846,0.006001,0.126069,160322.9
1003.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003607,0.003572,0.007180,1768.1
1003.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003864,0.003571,0.007436,1763.7
1003.pgm,Adaptive,0.2,0.053431,0.065481,0.005844,0.005208,0.129963,160322.9
1004.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003966,0.003766,0.007732,1768.1
1004.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003481,0.003577,0.007058,1763.7
1004.pgm,Adaptive,0.2,0.067379,0.066233,0.005783,0.006763,0.146157,160322.9
1005.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003984,0.003743,0.007727,1768.1
1005.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003839,0.003875,0.007714,1763.7
1005.pgm,Adaptive,0.2,0.061673,0.058501,0.005273,0.006425,0.131871,160322.9
1006.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003776,0.003438,0.007214,1768.1
1006.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003939,0.003907,0.007846,1763.7
1006.pgm,Adaptive,0.2,0.058134,0.057761,0.005036,0.005500,0.126431,160322.9
1007.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003649,0.003761,0.007410,1768.1
1007.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003677,0.003715,0.007392,1763.7
1007.pgm,Adaptive,0.2,0.057046,0.063225,0.005786,0.006217,0.132273,160322.9
1008.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003955,0.003755,0.007711,1768.1
1008.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003860,0.003836,0.007695,1763.7
1008.pgm,Adaptive,0.2,0.066987,0.060380,0.005823,0.007041,0.140230,160322.9
