method,bpp,n_images,n_folds,mean_auc,std_auc,ci95_auc_lo,ci95_auc_hi,mean_tpr_at_5fpr,std_tpr_at_5fpr
Fixed-LSB-1,0.05,200,5,0.790938,0.023118,0.770673,0.811202,0.295000,0.043012
Fixed-LSB-1,0.1,200,5,0.900250,0.012577,0.889226,0.911274,0.550000,0.085147
Fixed-LSB-1,0.2,200,5,0.956250,0.008385,0.948900,0.963600,0.740000,0.113578
Fixed-LSB-1,0.3,200,5,0.972063,0.006748,0.966148,0.977977,0.895000,0.074833
Fixed-LSB-1,0.4,200,5,0.978625,0.007177,0.972334,0.984916,0.905000,0.097980
Fixed-LSB-2,0.05,200,5,0.769562,0.032064,0.741457,0.797668,0.305000,0.048477
Fixed-LSB-2,0.1,200,5,0.887625,0.017430,0.872347,0.902903,0.550000,0.092195
Fixed-LSB-2,0.2,200,5,0.938500,0.013145,0.926978,0.950022,0.680000,0.076485
Fixed-LSB-2,0.3,200,5,0.954562,0.013021,0.943149,0.965976,0.730000,0.088600
Fixed-LSB-2,0.4,200,5,0.957625,0.017884,0.941949,0.973301,0.787500,0.087321
Adaptive,0.05,200,5,0.710250,0.029342,0.684531,0.735969,0.190000,0.033912
Adaptive,0.1,200,5,0.825500,0.015249,0.812134,0.838866,0.350000,0.057009
Adaptive,0.2,200,5,0.924750,0.006214,0.919304,0.930196,0.652500,0.088882
Adaptive,0.3,200,5,0.951937,0.011561,0.941804,0.962071,0.735000,0.095656
Adaptive,0.4,200,5,0.963813,0.012058,0.953243,0.974382,0.835000,0.103199
