method,bpp,n_images,n_folds,mean_auc,std_auc,ci95_auc_lo,ci95_auc_hi,mean_tpr_at_5fpr,std_tpr_at_5fpr
Fixed-LSB-1,0.05,200,5,0.611875,0.015594,0.598207,0.625543,0.080000,0.018708
Fixed-LSB-1,0.1,200,5,0.667500,0.020958,0.649129,0.685871,0.165000,0.030000
Fixed-LSB-1,0.2,200,5,0.743938,0.019444,0.726894,0.760981,0.235000,0.046368
Fixed-LSB-1,0.3,200,5,0.807313,0.017418,0.792045,0.822580,0.355000,0.048477
Fixed-LSB-1,0.4,200,5,0.858437,0.016942,0.843587,0.873288,0.470000,0.055678
Fixed-LSB-2,0.05,200,5,0.648813,0.013906,0.636623,0.661002,0.140000,0.096954
Fixed-LSB-2,0.1,200,5,0.744375,0.017721,0.728842,0.759908,0.245000,0.121861
Fixed-LSB-2,0.2,200,5,0.868437,0.028505,0.843452,0.893423,0.525000,0.093541
Fixed-LSB-2,0.3,200,5,0.919125,0.019639,0.901911,0.936339,0.695000,0.065955
Fixed-LSB-2,0.4,200,5,0.942250,0.015615,0.928562,0.955938,0.745000,0.060000
Adaptive,0.05,200,5,0.564813,0.005564,0.559935,0.569690,0.060000,0.012247
Adaptive,0.1,200,5,0.606437,0.014825,0.593443,0.619432,0.075000,0.022361
Adaptive,0.2,200,5,0.667687,0.022418,0.648037,0.687338,0.170000,0.064031
Adaptive,0.3,200,5,0.712437,0.024354,0.691091,0.733784,0.195000,0.040000
Adaptive,0.4,200,5,0.751187,0.023481,0.730606,0.771769,0.260000,0.068191
