image,ablation,bpp,payload_bytes,mse,psnr,ssim,kl_divergence,rs_detected,chi2_detected,spa_detected,mean_depth,extraction_verified
smooth_00000.png,full_system,0.05,122,0.002579,74.0167,0.999962,0.00000082,True,True,True,1.0205,True
smooth_00000.png,full_system,0.1,245,0.004918,71.2126,0.999928,0.00000235,True,True,True,1.0205,True
smooth_00000.png,full_system,0.2,491,0.009878,68.1843,0.999855,0.00000440,False,True,True,1.0205,True
smooth_00000.png,full_system,0.3,737,0.014760,66.4398,0.999783,0.00000960,False,True,True,1.0205,True
smooth_00000.png,full_system,0.4,982,0.019750,65.1751,0.999710,0.00001213,False,True,True,1.0205,True
smooth_00000.png,entropy_only,0.05,122,0.002594,73.9911,0.999962,0.00000075,True,True,True,1.0000,True
smooth_00000.png,entropy_only,0.1,245,0.005071,71.0799,0.999926,0.00000267,True,True,True,1.0000,True
smooth_00000.png,entropy_only,0.2,491,0.010096,68.0892,0.999852,0.00000469,False,True,True,1.0000,True
smooth_00000.png,entropy_only,0.3,737,0.015025,66.3627,0.999779,0.00001116,False,True,True,1.0000,True
smooth_00000.png,entropy_only,0.4,982,0.019994,65.1218,0.999706,0.00001674,False,True,True,1.0000,True
smooth_00000.png,edge_only,0.05,122,0.002538,74.0858,0.999963,0.00000058,True,True,True,1.6625,True
smooth_00000.png,edge_only,0.1,245,0.005015,71.1280,0.999926,0.00000127,True,True,True,1.6625,True
smooth_00000.png,edge_only,0.2,491,0.010045,68.1111,0.999852,0.00000425,True,True,True,1.6625,True
smooth_00000.png,edge_only,0.3,737,0.014959,66.3819,0.999780,0.00000652,False,True,True,1.6625,True
smooth_00000.png,edge_only,0.4,982,0.020096,65.0997,0.999704,0.00001263,False,True,True,1.6625,True
smooth_00000.png,no_pressure,0.05,122,0.002579,74.0167,0.999962,0.00000082,True,True,True,1.0205,True
smooth_00000.png,no_pressure,0.1,245,0.004918,71.2126,0.999928,0.00000235,True,True,True,1.0205,True
smooth_00000.png,no_pressure,0.2,491,0.009878,68.1843,0.999855,0.00000440,False,True,True,1.0205,True
smooth_00000.png,no_pressure,0.3,737,0.014760,66.4398,0.999783,0.00000960,False,True,True,1.0205,True
smooth_00000.png,no_pressure,0.4,982,0.019750,65.1751,0.999710,0.00001213,False,True,True,1.0205,True
smooth_00001.png,full_system,0.05,122,0.002584,74.0082,0.999962,0.00000074,False,True,True,1.0225,True
smooth_00001.png,full_system,0.1,245,0.005056,71.0930,0.999926,0.00000160,True,True,True,1.0225,True
smooth_00001.png,full_system,0.2,491,0.010101,68.0870,0.999851,0.00000437,True,True,True,1.0225,True
smooth_00001.png,full_system,0.3,737,0.015111,66.3378,0.999778,0.00000970,True,True,True,1.0225,True
smooth_00001.png,full_system,0.4,982,0.020213,65.0745,0.999703,0.00001350,True,True,True,1.0225,True
smooth_00001.png,entropy_only,0.05,122,0.002675,73.8570,0.999961,0.00000066,False,True,True,1.0000,True
smooth_00001.png,entropy_only,0.1,245,0.005081,71.0712,0.999925,0.00000136,False,True,True,1.0000,True
smooth_00001.png,entropy_only,0.2,491,0.010056,68.1067,0.999852,0.00000230,True,True,True,1.0000,True
smooth_00001.png,entropy_only,0.3,737,0.014984,66.3745,0.999780,0.00000446,True,True,True,1.0000,True
smooth_00001.png,entropy_only,0.4,982,0.020004,65.1196,0.999706,0.00000614,True,True,True,1.0000,True
