image,method,bpp,payload_bytes,embed_time_s,extract_time_s,extraction_verified,mse,psnr,ssim,kl_divergence,distortion_per_bit,rs_estimated_rate,rs_detected,chi2_embedding_prob,chi2_detected,spa_estimated_rate,spa_detected,mean_depth,depth_std
smooth_00000.png,Fixed-LSB-1,0.05,280,0.009012,0.008362,True,0.005783,70.5092,0.999915,0.00000295,0.0000025817,0.500000,True,1.000000,True,0.135754,True,,
smooth_00000.png,Fixed-LSB-1,0.1,567,0.008479,0.009298,True,0.011536,67.5104,0.999831,0.00000576,0.0000025431,0.005329,False,1.000000,True,0.139614,True,,
smooth_00000.png,Fixed-LSB-1,0.2,1141,0.007731,0.010411,True,0.023493,64.4213,0.999655,0.00002078,0.0000025738,0.025376,False,1.000000,True,0.144669,True,,
smooth_00000.png,Fixed-LSB-1,0.3,1714,0.080267,0.052470,True,0.035212,62.6639,0.999483,0.00003425,0.0000025680,0.061115,True,1.000000,True,0.149908,True,,
smooth_00000.png,Fixed-LSB-1,0.4,2287,0.006431,0.005673,True,0.046875,61.4214,0.999312,0.00004838,0.0000025620,0.087167,True,1.000000,True,0.154810,True,,
smooth_00000.png,Fixed-LSB-2,0.05,280,0.007309,0.007019,True,0.014242,66.5952,0.999791,0.00000649,0.0000063578,0.500000,True,1.000000,True,0.133946,True,,
smooth_00000.png,Fixed-LSB-2,0.1,567,0.008671,0.005661,True,0.028987,63.5088,0.999575,0.00000902,0.0000063903,0.500000,True,1.000000,True,0.134804,True,,
smooth_00000.png,Fixed-LSB-2,0.2,1141,0.006262,0.006119,True,0.058446,60.4632,0.999143,0.00001547,0.0000064030,0.500000,True,1.000000,True,0.136397,True,,
smooth_00000.png,Fixed-LSB-2,0.3,1714,0.010446,0.008912,True,0.088420,58.6653,0.998705,0.00002908,0.0000064483,0.010726,False,1.000000,True,0.137439,True,,
smooth_00000.png,Fixed-LSB-2,0.4,2287,0.006149,0.006527,True,0.118144,57.4067,0.998270,0.00003652,0.0000064574,0.004118,False,1.000000,True,0.136673,True,,
smooth_00000.png,Adaptive,0.05,143,0.028669,0.058781,True,0.002981,73.3878,0.999956,0.00000110,0.0000026054,0.500000,True,1.000000,True,0.134467,True,1.0205,0.1416
smooth_00000.png,Adaptive,0.1,286,0.017180,0.011665,True,0.005727,70.5514,0.999916,0.00000284,0.0000025031,0.500000,True,1.000000,True,0.136060,True,1.0205,0.1416
smooth_00000.png,Adaptive,0.2,573,0.007950,0.017725,True,0.011444,67.5450,0.999832,0.00000550,0.0000024965,0.009416,False,1.000000,True,0.139001,True,1.0205,0.1416
smooth_00000.png,Adaptive,0.3,859,0.010460,0.014295,True,0.017309,65.7482,0.999746,0.00001074,0.0000025187,0.021900,False,1.000000,True,0.141207,True,1.0205,0.1416
smooth_00000.png,Adaptive,0.4,1146,0.013209,0.022480,True,0.023071,64.5001,0.999662,0.00001297,0.0000025165,0.026423,False,1.000000,True,0.143964,True,1.0205,0.1416
smooth_00001.png,Fixed-LSB-1,0.05,280,0.006443,0.008935,True,0.005788,70.5054,0.999915,0.00000105,0.0000025840,0.046619,False,1.000000,True,0.148346,True,,
