image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
smooth_00000.png,Fixed-LSB-1,0.2,0.0,0.0,0.017779,0.011412,0.029191,1768.1
smooth_00000.png,Fixed-LSB-2,0.2,0.0,0.0,0.010158,0.010601,0.020759,1763.7
smooth_00000.png,Adaptive,0.2,0.138297,0.107278,0.014158,0.013077,0.272810,160322.9
smooth_00001.png,Fixed-LSB-1,0.2,0.0,0.0,0.010109,0.010405,0.020514,1768.1
smooth_00001.png,Fixed-LSB-2,0.2,0.0,0.0,0.009894,0.009868,0.019762,1763.7
smooth_00001.png,Adaptive,0.2,0.100796,0.117267,0.008315,0.010733,0.237112,160322.9
smooth_00002.png,Fixed-LSB-1,0.2,0.0,0.0,0.006260,0.008221,0.014481,1768.1
smooth_00002.png,Fixed-LSB-2,0.2,0.0,0.0,0.006257,0.008808,0.015065,1763.7
smooth_00002.png,Adaptive,0.2,0.091667,0.114330,0.010514,0.011488,0.227999,160322.9
smooth_00003.png,Fixed-LSB-1,0.2,0.0,0.0,0.006016,0.009026,0.015042,1768.1
smooth_00003.png,Fixed-LSB-2,0.2,0.0,0.0,0.007065,0.009910,0.016976,1763.7
smooth_00003.png,Adaptive,0.2,0.094154,0.107825,0.013257,0.008751,0.223987,160322.9
smooth_00004.png,Fixed-LSB-1,0.2,0.0,0.0,0.006567,0.008111,0.014678,1768.1
smooth_00004.png,Fixed-LSB-2,0.2,0.0,0.0,0.006423,0.010926,0.017349,1763.7
smooth_00004.png,Adaptive,0.2,0.112284,0.111560,0.011893,0.012934,0.248671,160322.9
smooth_00005.png,Fixed-LSB-1,0.2,0.0,0.0,0.008090,0.013434,0.021524,1768.1
smooth_00005.png,Fixed-LSB-2,0.2,0.0,0.0,0.011102,0.007511,0.018613,1763.7
smooth_00005.png,Adaptive,0.2,0.142226,0.151612,0.011786,0.016214,0.321837,160322.9
smooth_00006.png,Fixed-LSB-1,0.2,0.0,0.0,0.016921,0.018779,0.035700,1768.1
smooth_00006.png,Fixed-LSB-2,0.2,0.0,0.0,0.030154,0.017612,0.047766,1763.7
smooth_00006.png,Adaptive,0.2,0.120805,0.339128,0.036464,0.027716,0.524112,160322.9
smooth_00007.png,Fixed-LSB-1,0.2,0.0,0.0,0.016061,0.012452,0.028513,1768.1
smooth_00007.png,Fixed-LSB-2,0.2,0.0,0.0,0.011118,0.009764,0.020881,1763.7
smooth_00007.png,Adaptive,0.2,0.149263,0.432680,0.016099,0.014784,0.612825,160322.9
smooth_00008.png,Fixed-LSB-1,0.2,0.0,0.0,0.011863,0.010600,0.022463,1768.1
smooth_00008.png,Fixed-LSB-2,0.2,0.0,0.0,0.009733,0.013372,0.023105,1763.7
smooth_00008.png,Adaptive,0.2,0.127545,0.130570,0.011010,0.022711,0.291836,160322.9
smooth_00009.png,Fixed-LSB-1,0.2,0.0,0.0,0.006466,0.011036,0.017503,1768.1
smooth_00009.png,Fixed-LSB-2,0.2,0.0,0.0,0.010326,0.007747,0.018073,1763.7
smooth_00009.png,Adaptive,0.2,0.114376,0.102606,0.011432,0.011162,0.239576,160322.9
smooth_00010.png,Fixed-LSB-1,0.2,0.0,0.0,0.006318,0.008377,0.014695,1768.1
smooth_00010.png,Fixed-LSB-2,0.2,0.0,0.0,0.006538,0.008022,0.014560,1763.7
smooth_00010.png,Adaptive,0.2,0.096240,0.100714,0.024176,0.028593,0.249723,160322.9
smooth_00011.png,Fixed-LSB-1,0.2,0.0,0.0,0.012146,0.016660,0.028806,1768.1
smooth_00011.png,Fixed-LSB-2,0.2,0.0,0.0,0.016212,0.010076,0.026288,1763.7
smooth_00011.png,Adaptive,0.2,0.105583,0.129504,0.011896,0.009261,0.256245,160322.9
smooth_00012.png,Fixed-LSB-1,0.2,0.0,0.0,0.009111,0.006227,0.015338,1768.1
smooth_00012.png,Fixed-LSB-2,0.2,0.0,0.0,0.008996,0.007278,0.016275,1763.7
smooth_00012.png,Adaptive,0.2,0.112577,0.119308,0.011475,0.012718,0.256077,160322.9
smooth_00013.png,Fixed-LSB-1,0.2,0.0,0.0,0.009146,0.007906,0.017052,1768.1
smooth_00013.png,Fixed-LSB-2,0.2,0.0,0.0,0.010061,0.007769,0.017831,1763.7
smooth_00013.png,Adaptive,0.2,0.117181,0.090060,0.009153,0.011300,0.227693,160322.9
smooth_00014.png,Fixed-LSB-1,0.2,0.0,0.0,0.008778,0.006373,0.015151,1768.1
smooth_00014.png,Fixed-LSB-2,0.2,0.0,0.0,0.010959,0.018471,0.029429,1763.7
smooth_00014.png,Adaptive,0.2,0.202809,0.105589,0.011722,0.016031,0.336151,160322.9
smooth_00015.png,Fixed-LSB-1,0.2,0.0,0.0,0.015183,0.008315,0.023497,1768.1
smooth_00015.png,Fixed-LSB-2,0.2,0.0,0.0,0.008428,0.006433,0.014861,1763.7
smooth_00015.png,Adaptive,0.2,0.109045,0.105495,0.012678,0.016083,0.243301,160322.9
smooth_00016.png,Fixed-LSB-1,0.2,0.0,0.0,0.006919,0.010162,0.017081,1768.1
smooth_00016.png,Fixed-LSB-2,0.2,0.0,0.0,0.006647,0.010306,0.016952,1763.7
smooth_00016.png,Adaptive,0.2,0.127639,0.125370,0.011602,0.012311,0.276921,160322.9
smooth_00017.png,Fixed-LSB-1,0.2,0.0,0.0,0.007689,0.010152,0.017841,1768.1
smooth_00017.png,Fixed-LSB-2,0.2,0.0,0.0,0.010472,0.007388,0.017860,1763.7
smooth_00017.png,Adaptive,0.2,0.114559,0.120353,0.010159,0.011308,0.256379,160322.9
smooth_00018.png,Fixed-LSB-1,0.2,0.0,0.0,0.006446,0.009381,0.015828,1768.1
smooth_00018.png,Fixed-LSB-2,0.2,0.0,0.0,0.006339,0.008260,0.014599,1763.7
smooth_00018.png,Adaptive,0.2,0.092107,0.120449,0.008407,0.011030,0.231993,160322.9
smooth_00019.png,Fixed-LSB-1,0.2,0.0,0.0,0.006594,0.009066,0.015660,1768.1
smooth_00019.png,Fixed-LSB-2,0.2,0.0,0.0,0.006671,0.009535,0.016206,1763.7
smooth_00019.png,Adaptive,0.2,0.108328,0.102349,0.010645,0.011613,0.232935,160322.9
smooth_00020.png,Fixed-LSB-1,0.2,0.0,0.0,0.010076,0.008281,0.018357,1768.1
smooth_00020.png,Fixed-LSB-2,0.2,0.0,0.0,0.011005,0.010747,0.021752,1763.7
smooth_00020.png,Adaptive,0.2,0.118687,0.131500,0.013399,0.010363,0.273951,160322.9
smooth_00021.png,Fixed-LSB-1,0.2,0.0,0.0,0.007656,0.012352,0.020008,1768.1
smooth_00021.png,Fixed-LSB-2,0.2,0.0,0.0,0.012093,0.007571,0.019664,1763.7
smooth_00021.png,Adaptive,0.2,0.097690,0.100231,0.010265,0.009076,0.217262,160322.9
