method,bpp,n_images,n_folds,mean_auc,std_auc,ci95_auc_lo,ci95_auc_hi,mean_tpr_at_5fpr,std_tpr_at_5fpr
Fixed-LSB-1,0.05,1000,5,0.754240,0.014232,0.741765,0.766715,0.271000,0.054809
Fixed-LSB-1,0.1,1000,5,0.861410,0.014580,0.848630,0.874190,0.471000,0.084285
Fixed-LSB-1,0.2,1000,5,0.931752,0.012470,0.920822,0.942683,0.695500,0.076263
Fixed-LSB-1,0.3,1000,5,0.958698,0.008646,0.951119,0.966276,0.782000,0.063144
Fixed-LSB-1,0.4,1000,5,0.971527,0.005651,0.966574,0.976481,0.860000,0.035465
Fixed-LSB-2,0.05,1000,5,0.709873,0.012597,0.698831,0.720914,0.214000,0.054351
Fixed-LSB-2,0.1,1000,5,0.824602,0.016207,0.810396,0.838809,0.382667,0.086246
Fixed-LSB-2,0.2,1000,5,0.911782,0.017021,0.896863,0.926702,0.613000,0.078524
Fixed-LSB-2,0.3,1000,5,0.937810,0.014942,0.924713,0.950907,0.709000,0.059363
Fixed-LSB-2,0.4,1000,5,0.946395,0.013954,0.934164,0.958626,0.735000,0.056214
Adaptive,0.05,1000,5,0.659820,0.007690,0.653080,0.666560,0.161000,0.022672
Adaptive,0.1,1000,5,0.761855,0.014513,0.749134,0.774576,0.274000,0.049538
Adaptive,0.2,1000,5,0.864683,0.016871,0.849894,0.879471,0.475500,0.072774
Adaptive,0.3,1000,5,0.907627,0.015092,0.894399,0.920856,0.601000,0.060303
Adaptive,0.4,1000,5,0.934342,0.011828,0.923975,0.944710,0.693667,0.056366
