image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.004491491285295232,0.15216078131914768,6.121377707452023e-05,0.0036485611735109142,0.0,0.0,65536,{0: 65536},1.3083648681640625,1.3083648681640625,0.0051116943359375,0.51116943359375,0.0090484619140625,0.90484619140625,0.013916015625,1.3916015625,0.1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0036510110908379136,0.13245357134026658,5.553960204311308e-05,0.0033443606870956766,0.0,0.0,65536,{0: 65536},1.3643798828125,1.3643798828125,0.0063018798828125,0.63018798828125,0.011016845703125,1.1016845703125,0.0168304443359375,1.68304443359375,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.003441996152116184,0.2099093431437864,6.490551325146245e-05,0.003676603390649496,0.0,0.0,65536,{0: 65536},1.1669921875,1.1669921875,0.0024566650390625,0.24566650390625,0.0043182373046875,0.43182373046875,0.0066070556640625,0.66070556640625,0.1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0037626776271910394,0.23226351035421466,6.450050844275247e-05,0.003654358828352758,0.0,0.0,65536,{0: 65536},1.262115478515625,1.262115478515625,0.0044403076171875,0.44403076171875,0.0078125,0.78125,0.0117950439453125,1.17950439453125,0.1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0033952307502020827,0.15918916448531117,6.071838390622277e-05,0.004819778185449652,0.0,0.0,65536,{0: 65536},1.2563934326171875,1.2563934326171875,0.0070953369140625,0.70953369140625,0.013580322265625,1.3580322265625,0.018890380859375,1.8890380859375,0.1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0035221693129398306,0.19142677289358323,5.744911000692482e-05,0.003480216129246351,0.0,0.0,65536,{0: 65536},1.3100433349609375,1.3100433349609375,0.0067901611328125,0.67901611328125,0.0126495361328125,1.26495361328125,0.018157958984375,1.8157958984375,0.1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.002987481180835408,0.21213275808050036,5.991125100335454e-05,0.0034156000426476263,0.0,0.0,65536,{0: 65536},1.2547607421875,1.2547607421875,0.006805419921875,0.6805419921875,0.009368896484375,0.9368896484375,0.0135955810546875,1.35955810546875,0.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0036259503755602333,0.1686665817651103,6.971846676460036e-05,0.0039289309923442595,0.0,0.0,65536,{0: 65536},1.3933868408203125,1.3933868408203125,0.01593017578125,1.593017578125,0.020721435546875,2.0721435546875,0.027313232421875,2.7313232421875,0.1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0042221276697878935,0.2688857885692788,5.851533472607746e-05,0.0033155240077422654,0.0,0.0,65536,{0: 65536},1.339691162109375,1.339691162109375,0.007232666015625,0.7232666015625,0.0102081298828125,1.02081298828125,0.01531982421875,1.531982421875,0.1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.005094731765583936,0.1591891644853114,9.557682149488383e-05,0.005240262184638427,0.0,0.0,65536,{0: 65536},1.29180908203125,1.29180908203125,0.0066070556640625,0.66070556640625,0.0128631591796875,1.28631591796875,0.0195465087890625,1.95465087890625,0.1
